epoch,train_acc,val_acc,train_loss,val_loss
1,38.79166811801177,37.94928949568125,1.623629117810102,1.533987488777201
2,53.77129123271448,51.15631095012538,1.2082534275141632,1.322600146195589
3,59.70915044062838,57.2582892170521,1.0588159736032674,1.0967813611495592
4,64.0955797833432,62.301476734466426,0.9499202914100783,1.011002225990779
5,68.11418022222996,63.86179994427417,0.842649110318426,0.9603685190432515
6,72.57584729527326,65.03204235162998,0.7342584439278845,0.9480221972355241
7,76.86509456964716,62.99804959598774,0.6197576718132068,1.0187241581031692
8,81.51241770873246,65.28280858177766,0.5008126213664424,0.9716579467016663
9,85.77240586575638,65.56143772638617,0.3909985260264769,1.0934154198972852
10,89.57609112125118,65.86792978545556,0.29072234117792517,1.1475119387233248
11,92.8593820753074,67.73474505433268,0.2043122850290232,1.1632264116890552
12,94.87512626702429,65.17135692393424,0.14996339533650732,1.3097977510407697
13,96.37361106273293,66.87099470604625,0.10847571454408911,1.373305846903526
14,97.53561600891706,68.4870437447757,0.07708771668667537,1.535602712255894
15,98.10686544289247,68.90498746168849,0.061105854971484665,1.5889044533672856
16,98.56908983245673,68.15268877124547,0.045606676996348024,1.5732765162877964
17,99.05534849698701,69.29506826414043,0.03217401492058309,1.668340842327008
18,99.42979553450138,69.5458344942881,0.020056497746979075,1.8365643146655692
19,99.57643944407677,69.5458344942881,0.015031180763291135,1.8538527722003633
20,99.70531888954683,69.99164112566174,0.009609639707945861,1.9198280423962661
21,99.72865651886168,69.88018946781834,0.007545617521941982,2.0454544699949353
22,99.75443240795569,70.18668152688771,0.0059841316655418865,2.0849402340709764
23,99.7732418405378,70.40958484257453,0.005143448309009655,2.1490576144886004
24,99.7937928872479,69.82446363889663,0.004515316876363474,2.2021006235547156
25,99.79866940680623,69.93591529674003,0.004134458222580013,2.2417883603807924
26,99.80633250896932,70.29813318473113,0.004061585970185579,2.2183877844171427
27,99.8007593437598,70.38172192811368,0.003926089365479392,2.3232359185749467
28,99.79692779267826,70.29813318473113,0.003910387813464607,2.28039720995566
29,99.80354592636455,70.32599609919198,0.0035404013647130765,2.3615754107592015
30,99.81713051656276,70.24240735580942,0.0034325976723224897,2.3862239938954866
31,99.81016406005085,69.96377821120089,0.003395750600527345,2.407218509018691
32,99.80981573722526,70.04736695458345,0.003416452150830627,2.414748034629152
33,99.81155735135323,70.15881861242686,0.0033456934688926914,2.417420365517312
